Source title;CiteScore;Highest percentile;2021-24 Citations;2021-24 Documents;% Cited;SNIP;SJR;Publisher
Journal of Air Transport Management;9,4;"98.0%
16/1105
Law";4633;492;83;1,631;1,019;Elsevier
Knowledge Management Research and Practice;9,3;"91.0%
26/287
Library and Information Sciences";2193;237;91;1,336;0,822;Taylor & Francis
International Journal of Entrepreneurial Behaviour and Research;9,3;"93.0%
14/208
Business, Management and Accounting (miscellaneous)";4047;434;85;1,54;1,354;Emerald Publishing
Bottom Line;9,3;"91.0%
25/287
Library and Information Sciences";448;48;79;1,365;0,861;Emerald Publishing
Strategic Entrepreneurship Journal;9,3;"91.0%
64/731
Economics and Econometrics";1077;116;86;2,261;3,37;John Wiley & Sons
Clean Technologies and Environmental Policy;9,3;"91.0%
61/731
Economics and Econometrics";7598;815;90;1,147;0,87;Springer Nature
Contemporary Educational Technology;9,3;"95.0%
74/1620
Education";2343;251;82;1,887;1,099;Bastas
VINE Journal of Information and Knowledge Management Systems;9,3;"91.0%
24/287
Library and Information Sciences";1729;185;94;1,395;0,729;Emerald Publishing
Journal of Financial Reporting and Accounting;9,2;"94.0%
16/260
Economics, Econometrics and Finance (miscellaneous)";1608;175;93;1,369;0,683;Emerald Publishing
International Journal of Manpower;9,2;"88.0%
28/234
Organizational Behavior and Human Resource Management";2845;309;74;1,849;1,411;Emerald Publishing
International Journal of Innovation Studies;9,2;"86.0%
27/190
Information Systems and Management";753;82;88;1,664;1,007;KeAi Communications Co.
Cornell Hospitality Quarterly;9,1;"82.0%
27/151
Tourism, Leisure and Hospitality Management";1313;144;78;1,704;1,543;SAGE
Tourism and Hospitality Research;9,1;"93.0%
52/841
Geography, Planning and Development";1459;160;91;1,117;0,72;SAGE
Human Resource Development International;9,1;"87.0%
29/234
Organizational Behavior and Human Resource Management";1159;128;83;1,828;1,066;Taylor & Francis
European Business Review;9,1;"93.0%
15/208
Business, Management and Accounting (miscellaneous)";1552;171;91;1,408;1,069;Emerald Publishing
ACM Transactions on Management Information Systems;9,1;"86.0%
32/239
General Computer Science";1171;128;85;1,31;0,973;Association for Computing Machinery
Journal of Accounting Research;9;"92.0%
14/182
Accounting";1538;171;84;3,566;8,396;John Wiley & Sons
International Journal of Business Communication;9;"93.0%
17/260
Economics, Econometrics and Finance (miscellaneous)";1384;154;94;1,69;0,97;SAGE
Journal of Global Fashion Marketing;9;"99.0%
7/1371
Cultural Studies";964;107;88;1,263;1,171;Taylor & Francis
International Marketing Review;9;"85.0%
68/451
Business and International Management";2018;225;80;1,608;1,306;Emerald Publishing
European Sport Management Quarterly;9;"82.0%
87/496
Strategy and Management";2063;229;93;2,33;1,407;Taylor & Francis
Journal of Network and Systems Management;9;"87.0%
65/507
Computer Networks and Communications";2703;302;81;1,334;0,876;Springer Nature
Manufacturing and Service Operations Management;9;"86.0%
31/218
Management Science and Operations Research";4980;554;78;2,005;4,486;INFORMS Inst.for Operations Res.and the Management Sciences
Marketing Science;8,8;"84.0%
70/451
Business and International Management";2092;239;79;2,649;7,543;INFORMS Institute for Operations Research and the Management Sciences
Emerging Markets Review;8,8;"90.0%
68/731
Economics and Econometrics";2845;322;78;1,916;1,404;Elsevier
Journal of Accounting and Economics;8,8;"92.0%
15/182
Accounting";1719;195;85;3,586;7,505;Elsevier
Scandinavian Journal of Hospitality and Tourism;8,8;"81.0%
29/151
Tourism, Leisure and Hospitality Management";817;93;87;1,199;1,01;Taylor & Francis
Intelligent Systems in Accounting, Finance and Management;8,8;"89.0%
34/333
Finance";451;51;86;1,369;0,673;John Wiley & Sons
Competitiveness Review;8,8;"86.0%
32/225
General Business, Management and Accounting";1624;184;88;1,342;0,898;Emerald Publishing
Service Business;8,7;"84.0%
71/451
Business and International Management";1162;133;82;1,118;1,093;Springer Nature
Research in Transportation Business and Management;8,7;"93.0%
18/260
Economics, Econometrics and Finance (miscellaneous)";4369;505;81;1,44;1,196;Elsevier
European Journal of Work and Organizational Psychology;8,7;"86.0%
31/234
Organizational Behavior and Human Resource Management";2153;247;82;1,885;1,919;Taylor & Francis
Marketing Intelligence and Planning;8,7;"78.0%
46/215
Marketing";2263;259;79;1,41;1,245;Emerald Publishing
Asia Pacific Journal of Marketing and Logistics;8,7;"84.0%
72/451
Business and International Management";4585;525;81;1,625;1,186;Emerald Publishing
Journal of Islamic Marketing;8,7;"77.0%
48/215
Marketing";4231;489;82;1,92;0,825;Emerald Publishing
Journal of Work-Applied Management;8,7;"94.0%
86/1620
Education";698;80;99;1,625;0,76;Emerald Publishing
Academy of Management Learning and Education;8,6;"94.0%
88/1620
Education";992;115;91;2,046;1,848;George Washington University
Journal of Change Management;8,6;"81.0%
94/496
Strategy and Management";680;79;77;1,64;0,933;Taylor & Francis
Journal of Innovation and Entrepreneurship;8,6;"96.0%
51/1497
Sociology and Political Science";2471;288;82;2,004;0,889;Springer Nature
Feminist Economics;8,5;"98.0%
4/227
Gender Studies";1227;145;77;1,99;1,318;Taylor & Francis
Journal of Marketing Communications;8,5;"83.0%
75/451
Business and International Management";1426;168;88;1,332;0,999;Taylor & Francis
Annals of Data Science;8,5;"95.0%
8/175
Statistics, Probability and Uncertainty";2308;272;79;1,859;0,832;Springer Nature
Journal of Economics and Development;8,5;"92.0%
19/260
Economics, Econometrics and Finance (miscellaneous)";628;74;84;2,23;0,998;Emerald Publishing
Journal of Competitiveness;8,5;"97.0%
7/284
General Economics, Econometrics and Finance";1413;166;79;1,032;0,657;Tomas Bata University in Zlín
Asian Journal of Shipping and Logistics;8,5;"84.0%
34/218
Management Science and Operations Research";871;103;86;1,61;0,831;Korean Association of Shipping and Logistics, Inc.
International Journal of Finance and Economics;8,4;"90.0%
18/182
Accounting";9265;1109;83;1,434;0,791;John Wiley & Sons
Advances in Developing Human Resources;8,4;"86.0%
33/234
Organizational Behavior and Human Resource Management";564;67;91;1,299;0,957;SAGE
International Journal of Gender and Entrepreneurship;8,4;"98.0%
5/227
Gender Studies";691;82;82;1,628;1,009;Emerald Publishing
Journal of High Technology Management Research;8,4;"84.0%
30/190
Information Systems and Management";562;67;85;1,592;0,814;Elsevier
Journal of Risk Finance;8,4;"90.0%
17/182
Accounting";1073;128;82;1,03;0,821;Emerald Publishing
Creativity and Innovation Management;8,3;"80.0%
96/496
Strategy and Management";1507;182;81;1,566;1,163;John Wiley & Sons
Journal of Fashion Marketing and Management;8,3;"82.0%
78/451
Business and International Management";1610;193;85;1,563;1,054;Emerald Publishing
Business Process Management Journal;8,3;"90.0%
20/208
Business, Management and Accounting (miscellaneous)";3068;371;81;1,516;0,961;Emerald Publishing
Journal of Hospitality and Tourism Insights;8,3;"79.0%
31/151
Tourism, Leisure and Hospitality Management";3039;364;89;1,675;1,134;Emerald Publishing
Industry and Innovation;8,3;"84.0%
35/225
General Business, Management and Accounting";1534;185;85;1,696;1,41;Taylor & Francis
German Journal of Human Resource Management;8,2;"85.0%
35/234
Organizational Behavior and Human Resource Management";511;62;85;1,506;1,188;SAGE
International Journal of Management Science and Engineering Management;8,2;"87.0%
33/264
Engineering (miscellaneous)";849;104;89;1,283;0,776;Taylor & Francis
Personnel Review;8,2;"94.0%
4/61
Industrial Relations";3578;434;89;1,696;1,366;Emerald Publishing
Corporate Governance: An International Review;8,2;"84.0%
36/225
General Business, Management and Accounting";1198;146;84;2,104;1,493;Emerald Publishing
European Journal of Marketing;8,2;"75.0%
53/215
Marketing";3847;471;83;1,389;1,709;Emerald Publishing
Journal of Construction Engineering and Management;8,2;"92.0%
5/61
Industrial Relations";7473;908;82;1,482;1,113;American Society of Civil Engineers
International Journal of Hospitality and Tourism Administration;8,2;"79.0%
32/151
Tourism, Leisure and Hospitality Management";1255;153;90;1,262;0,816;Taylor & Francis
Journal of Relationship Marketing;8,2;"76.0%
52/215
Marketing";419;51;76;1,241;0,786;Taylor & Francis
International Journal of Accounting and Information Management;8,2;"89.0%
19/182
Accounting";1091;133;80;1,673;0,991;Emerald Publishing
Research and Practice in Technology Enhanced Learning;8,2;"94.0%
95/1620
Education";1037;127;81;1,634;0,865;Asia-Pacific Society for Computers in Education
Utilities Policy;8,1;"98.0%
21/1105
Law";4109;509;82;1,082;0,997;Elsevier
Supply Chain Forum;8,1;"82.0%
38/218
Management Science and Operations Research";921;114;80;1,29;0,951;Taylor & Francis
Journal of Social Entrepreneurship;8,1;"92.0%
23/309
Development";890;110;92;1,282;0,718;Taylor & Francis
Meditari Accountancy Research;8,1;"92.0%
20/260
Economics, Econometrics and Finance (miscellaneous)";2361;290;84;1,756;1,008;Emerald Publishing
Journal of Science and Technology Policy Management;8,1;"90.0%
6/61
Industrial Relations";1475;183;91;1,321;0,694;Emerald Publishing
Journal of Human Resources;8,1;"87.0%
89/731
Economics and Econometrics";1740;215;85;3,377;6,588;University of Wisconsin Press
Journal of Marketing for Higher Education;8,1;"94.0%
97/1620
Education";788;97;96;1,871;0,635;Taylor & Francis
Journal of Economics and Business;8,1;"88.0%
87/731
Economics and Econometrics";885;109;74;1,384;0,81;Elsevier
Journal of Entrepreneurship in Emerging Economies;8,1;"82.0%
80/451
Business and International Management";2117;261;87;1,313;0,866;Emerald Publishing
British Accounting Review;8,1;"88.0%
21/182
Accounting";1816;224;78;2,378;1,544;Elsevier
Journal of Global Information Management;8;"82.0%
34/190
Information Systems and Management";2867;359;84;0,967;0,799;IGI Global Publishing
Journal of Current Issues and Research in Advertising;8;"74.0%
56/215
Marketing";794;99;88;1,442;1,669;Taylor & Francis
Management Decision;8;"83.0%
38/225
General Business, Management and Accounting";4747;597;85;1,37;1,028;Emerald Publishing
International Journal of Quality and Service Sciences;8;"90.0%
21/208
Business, Management and Accounting (miscellaneous)";929;116;83;1,361;0,783;Emerald Publishing
Economics of Innovation and New Technology;8;"96.0%
11/284
General Economics, Econometrics and Finance";1415;177;82;1,721;1,071;Taylor & Francis
Journal of Quality Assurance in Hospitality and Tourism;8;"78.0%
33/151
Tourism, Leisure and Hospitality Management";1673;209;89;1,09;0,646;Taylor & Francis
Logistics;8;"82.0%
33/190
Information Systems and Management";3210;401;73;1,249;0,789;Multidisciplinary Digital Publishing Institute (MDPI)
Journal of Tourism and Services;8;"77.0%
34/151
Tourism, Leisure and Hospitality Management";875;110;86;0,851;0,561;Center for International Scientific Research of VSO and VSPP
International Journal of Tourism Research;7,9;"91.0%
75/841
Geography, Planning and Development";3024;383;69;2,265;1,355;John Wiley & Sons
Journal of Applied Accounting Research;7,9;"91.0%
22/260
Economics, Econometrics and Finance (miscellaneous)";1530;193;82;1,793;0,925;Emerald Publishing
Society and Business Review;7,9;"89.0%
23/208
Business, Management and Accounting (miscellaneous)";908;115;79;1,242;0,973;Emerald Publishing
Journal of Strategy and Management;7,9;"81.0%
85/451
Business and International Management";1170;148;74;1,244;0,922;Emerald Publishing
Journal of Business Venturing Insights;7,9;"80.0%
87/451
Business and International Management";2136;272;78;1,334;1,873;Elsevier
Education and Training;7,9;"93.0%
102/1620
Education";2064;261;77;1,749;0,962;Emerald Publishing
Journal of Business and Socio-economic Development;7,9;"88.0%
24/208
Business, Management and Accounting (miscellaneous)";471;60;83;2,457;0,78;Emerald Publishing
Knowledge and Process Management;7,8;"78.0%
107/496
Strategy and Management";961;123;79;1,175;0,656;John Wiley & Sons
Australian Accounting Review;7,8;"87.0%
24/182
Accounting";690;88;98;1,277;0,847;John Wiley & Sons
International Transactions in Operational Research;7,8;"80.0%
90/451
Business and International Management";4425;570;86;1,505;0,993;John Wiley & Sons
Entrepreneurial Business and Economics Review;7,8;"96.0%
25/738
Political Science and International Relations";1401;179;77;1,134;0,646;Cracow University of Economics
Accounting Education;7,8;"93.0%
111/1620
Education";926;119;92;2,19;1,054;Taylor & Francis
Journal of International Consumer Marketing;7,8;"77.0%
32/139
Management Information Systems";995;127;82;1,141;0,776;Taylor & Francis
Eurasian Business Review;7,8;"90.0%
24/260
Economics, Econometrics and Finance (miscellaneous)";950;122;82;1,532;1,116;Springer Nature
Journal of Humanitarian Logistics and Supply Chain Management;7,8;"79.0%
45/218
Management Science and Operations Research";822;105;91;1,202;0,877;Emerald Publishing
Public Relations Review;7,7;"93.0%
35/535
Communication";2818;368;84;1,701;1,352;Elsevier
Sport Management Review;7,7;"83.0%
39/234
Organizational Behavior and Human Resource Management";1126;146;84;2,291;1,614;Taylor & Francis
FIIB Business Review;7,7;"87.0%
26/208
Business, Management and Accounting (miscellaneous)";1118;146;86;1,021;0,605;SAGE
Journal of Global Marketing;7,7;"79.0%
91/451
Business and International Management";697;90;86;1,257;0,959;Taylor & Francis
European Accounting Review;7,7;"90.0%
25/260
Economics, Econometrics and Finance (miscellaneous)";1470;191;84;2,183;1,381;Taylor & Francis
Organizational Behavior and Human Decision Processes;7,7;"83.0%
38/234
Organizational Behavior and Human Resource Management";1592;206;90;1,568;2,383;Elsevier
Management Accounting Research;7,7;"86.0%
44/333
Finance";459;60;88;1,927;1,224;Elsevier
Journal of Marketing Education;7,6;"92.0%
117/1620
Education";642;84;89;1,812;0,915;SAGE
Applied Geography;7,6;"91.0%
15/175
Forestry";5567;728;85;1,424;1,313;Elsevier
Journal of Outdoor Recreation and Tourism;7,6;"75.0%
38/151
Tourism, Leisure and Hospitality Management";2664;349;82;1,563;1,22;Elsevier
Journal of Business and Industrial Marketing;7,6;"79.0%
95/451
Business and International Management";5159;677;84;1,215;1,039;Emerald Publishing
Journal of Policy Research in Tourism, Leisure and Events;7,6;"89.0%
85/841
Geography, Planning and Development";809;107;94;1,255;0,559;Taylor & Francis
Journal of Interactive Advertising;7,5;"93.0%
37/535
Communication";681;91;86;1,313;1,885;Taylor & Francis
International Journal of Organizational Analysis;7,5;"82.0%
42/234
Organizational Behavior and Human Resource Management";3512;469;81;1,474;0,869;Emerald Publishing
Academy of Management Discoveries;7,5;"89.0%
7/61
Industrial Relations";798;107;87;1,674;3,207;Academy of Management
Marketing Theory;7,5;"70.0%
65/215
Marketing";881;118;87;1,576;1,774;SAGE
Operations Research Perspectives;7,5;"95.0%
15/293
Statistics and Probability";858;114;82;1,454;0,761;Elsevier
Journal of Career Development;7,4;"92.0%
122/1620
Education";1970;265;83;1,696;1,162;SAGE
Work and Occupations;7,4;"94.0%
79/1497
Sociology and Political Science";534;72;83;2,248;2,918;SAGE
Journal of the Operational Research Society;7,4;"92.0%
13/175
Statistics, Probability and Uncertainty";4986;672;84;1,258;0,917;Taylor & Francis
Journal of Decision Systems;7,4;"86.0%
38/287
Library and Information Sciences";1241;168;73;1,172;0,761;Taylor & Francis
Leadership and Organization Development Journal;7,4;"87.0%
27/208
Business, Management and Accounting (miscellaneous)";2226;301;81;1,558;1,117;Emerald Publishing
Journal of Asian Business and Economic Studies;7,4;"95.0%
13/284
General Economics, Econometrics and Finance";607;82;78;1,448;0,664;Emerald Publishing
Journal of Services Marketing;7,4;"69.0%
66/215
Marketing";2105;286;85;1,151;1,364;Emerald Publishing
